Country;prevalence;of;TB;(all;"forms),""Estimated";prevalence;of;TB;(all;forms),;low;"bound"",""Estimated";prevalence;of;TB;(all;forms),;high;"bound"",Method";to;derive;prevalence;"estimates,""Estimated";mortality;of;TB;cases;(all;forms,;excluding;HIV);per;100;000;"population"",""Estimated";mortality;of;TB;cases;(all;forms,;excluding;HIV),;per;100;000;population,;low;"bound"",""Estimated";mortality;of;TB;cases;(all;forms,;excluding;HIV),;per;100;000;population,;high;"bound"",""Estimated";number;of;deaths;from;TB;(all;forms,;excluding;"HIV)"",""Estimated";number;of;deaths;from;TB;(all;forms,;excluding;HIV),;low;"bound"",""Estimated";number;of;deaths;from;TB;(all;forms,;excluding;HIV),;high;"bound"",""Estimated";mortality;of;TB;cases;who;are;HIV-positive,;per;100;000;"population"",""Estimated";mortality;of;TB;cases;who;are;HIV-positive,;per;100;000;population,;low;"bound"",""Estimated";mortality;of;TB;cases;who;are;HIV-positive,;per;100;000;population,;high;"bound"",Estimated";number;of;deaths;from;TB;in;people;who;are;"HIV-positive,""Estimated";number;of;deaths;from;TB;in;people;who;are;HIV-positive,;low;"bound"",""Estimated";number;of;deaths;from;TB;in;people;who;are;HIV-positive,;high;"bound"",Method";to;derive;mortality;estimates,Estimated;incidence;(all;forms);per;100;000;"population,""Estimated";incidence;(all;forms);per;100;000;population,;low;"bound"",""Estimated";incidence;(all;forms);per;100;000;population,;high;"bound"",Estimated";number;of;incident;cases;(all;"forms),""Estimated";number;of;incident;cases;(all;forms),;low;"bound"",""Estimated";number;of;incident;cases;(all;forms),;high;"bound"",Method";to;derive;incidence;estimates,Estimated;HIV;in;incident;TB;"(percent),""Estimated";HIV;in;incident;TB;(percent),;low;"bound"",""Estimated";HIV;in;incident;TB;(percent),;high;"bound"",Estimated";incidence;of;TB;cases;who;are;HIV-positive;per;100;000;"population,""Estimated";incidence;of;TB;cases;who;are;HIV-positive;per;100;000;population,;low;"bound"",""Estimated";incidence;of;TB;cases;who;are;HIV-positive;per;100;000;population,;high;"bound"",Estimated";incidence;of;TB;cases;who;are;"HIV-positive,""Estimated";incidence;of;TB;cases;who;are;HIV-positive,;low;"bound"",""Estimated";incidence;of;TB;cases;who;are;HIV-positive,;high;"bound"",Method";to;derive;TBHIV;"estimates,""Case";detection;rate;(all;forms),;"percent"",""Case";detection;rate;(all;forms),;percent,;low;"bound"",""Case";detection;rate;(all;forms),;percent,;high;"bound""";Data
Afghanistan;AF;AFG;4;EMR;2000;20595360;430;202;742;89000;42000;150000;predicted;68;48;83;14000;9900;17000;0.22;0.19;0.26;46;39;54;Indirect;190;175;204;39000;36000;42000;;0.18;0.16;0.2;0.34;0.31;0.36;70;64;75;;18;17;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2001;21347782;414;200;704;88000;43000;150000;predicted;64;45;78;14000;9600;17000;0.22;0.18;0.26;47;39;55;Indirect;189;175;201;40000;37000;43000;;0.19;0.17;0.21;0.36;0.33;0.38;76;70;81;;25;24;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2002;22202806;397;196;667;88000;44000;150000;predicted;59;42;72;13000;9300;16000;0.22;0.18;0.26;48;40;57;Indirect;189;176;200;42000;39000;44000;;0.2;0.18;0.22;0.38;0.35;0.4;84;78;89;;33;31;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2003;23116142;377;192;622;87000;44000;140000;predicted;54;38;66;13000;8800;15000;0.21;0.18;0.25;49;41;58;Indirect;189;177;202;44000;41000;47000;;0.21;0.19;0.23;0.4;0.37;0.43;92;86;99;;32;30;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2004;24018682;361;187;591;87000;45000;140000;predicted;50;35;60;12000;8400;15000;0.21;0.17;0.24;50;42;59;Indirect;189;176;204;45000;42000;49000;;0.22;0.2;0.25;0.42;0.39;0.46;100;94;110;;41;38;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2005;24860855;351;183;571;87000;46000;140000;predicted;46;32;56;12000;8000;14000;0.21;0.18;0.25;52;44;61;Indirect;189;176;203;47000;44000;51000;;0.24;0.21;0.26;0.45;0.42;0.49;110;100;120;;47;43;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2006;25631282;342;180;555;88000;46000;140000;predicted;44;30;53;11000;7800;14000;0.21;0.17;0.25;54;45;64;Indirect;189;176;201;48000;45000;51000;;0.25;0.23;0.28;0.48;0.44;0.51;120;110;130;;53;50;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2007;26349243;334;176;542;88000;46000;140000;predicted;42;29;52;11000;7600;14000;0.22;0.18;0.26;57;47;68;Indirect;189;176;201;50000;47000;53000;;0.27;0.24;0.29;0.51;0.47;0.54;130;120;140;;58;54;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2008;27032197;331;175;537;90000;47000;150000;predicted;41;28;52;11000;7600;14000;0.22;0.18;0.27;60;49;72;Indirect;189;177;203;51000;48000;55000;;0.28;0.26;0.31;0.53;0.5;0.57;140;130;160;;55;52;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2009;27708187;329;173;533;91000;48000;150000;predicted;41;28;52;11000;7800;14000;0.23;0.18;0.28;63;50;77;Indirect;189;178;204;52000;49000;56000;;0.3;0.27;0.33;0.56;0.52;0.61;160;140;170;;50;46;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2010;28397812;329;174;532;93000;49000;150000;predicted;41;28;52;12000;8000;15000;0.24;0.19;0.29;68;55;82;Indirect;189;176;205;54000;50000;58000;;0.31;0.27;0.34;0.58;0.53;0.64;170;150;180;;52;48;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2011;29105480;332;175;538;97000;51000;160000;predicted;41;28;53;12000;8100;15000;0.25;0.2;0.3;72;58;87;Indirect;189;174;206;55000;51000;60000;;0.32;0.28;0.36;0.6;0.55;0.66;180;160;190;;51;47;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2012;29824536;335;176;545;100000;52000;160000;predicted;42;28;53;12000;8200;16000;0.25;0.2;0.31;76;61;92;Indirect;189;171;209;56000;51000;62000;;0.33;0.28;0.38;0.62;0.56;0.69;190;170;210;;51;46;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;AF;AFG;4;EMR;2013;30551674;340;178;554;100000;54000;170000;predicted;42;27;53;13000;8400;16000;0.27;0.21;0.33;82;65;100;Indirect;189;167;212;58000;51000;65000;;0.34;0.29;0.4;0.64;0.57;0.72;200;170;220;;53;47;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;AL;ALB;8;EUR;1990;3446882;36;17;62;1200;570;2100;predicted;01.Сер;01.Кві;02.Бер;63;49;80;0;;;0;;;VR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;AL;ALB;8;EUR;1991;3459763;35;16;61;1200;550;2100;predicted;01.Лип;01.Бер;02.Січ;58;45;74;0;;;0;;;VR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;AL;ALB;8;EUR;1992;3446858;34;15;60;1200;520;2100;predicted;01.Січ;0.75;01.Тра;37;26;51;0;;;0;;;VR;24;17;33;840;580;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;AL;ALB;8;EUR;1993;3417280;33;15;59;1100;500;2000;predicted;01.Тра;01.Січ;01.Вер;51;38;66;0;;;0;;;VR;24;18;32;830;610;1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
